Idiom	WiktionaryURL	Pos	Neg	Neu	Inapprop.	Total	%Pos	%Neg	%Neu	Maj. Label	FilterOut(X)
at peace with	https://en.wiktionary.org/wiki/at_peace_with	10	0	0	0	10	1.000	0.000	0.000	positive	
at places	https://en.wiktionary.org/wiki/at_places	0	0	10	0	10	0.000	0.000	1.000	neutral	
at rest	https://en.wiktionary.org/wiki/at_rest	1	0	9	0	10	0.100	0.000	0.900	neutral	
at sea	https://en.wiktionary.org/wiki/at_sea	1	4	5	0	10	0.100	0.400	0.500	neutral	
at sixes and sevens	https://en.wiktionary.org/wiki/at_sixes_and_sevens	0	9	1	0	10	0.000	0.900	0.100	negative	
at stake	https://en.wiktionary.org/wiki/at_stake	0	6	4	0	10	0.000	0.600	0.400	negative	X
at the best of times	https://en.wiktionary.org/wiki/at_the_best_of_times	8	1	1	0	10	0.800	0.100	0.100	positive	
at the coal face	https://en.wiktionary.org/wiki/at_the_coal_face	0	0	10	0	10	0.000	0.000	1.000	neutral	
at the drop of a hat	https://en.wiktionary.org/wiki/at_the_drop_of_a_hat	0	0	10	0	10	0.000	0.000	1.000	neutral	
at the end of one's tether	https://en.wiktionary.org/wiki/at_the_end_of_one's_tether	0	8	2	0	10	0.000	0.800	0.200	negative	
at the end of the day	https://en.wiktionary.org/wiki/at_the_end_of_the_day	0	0	10	0	10	0.000	0.000	1.000	neutral	
at the feet of	https://en.wiktionary.org/wiki/at_the_feet_of	2	0	8	0	10	0.200	0.000	0.800	neutral	
at the helm	https://en.wiktionary.org/wiki/at_the_helm	0	0	10	0	10	0.000	0.000	1.000	neutral	
at the mercy of	https://en.wiktionary.org/wiki/at_the_mercy_of	0	7	3	0	10	0.000	0.700	0.300	negative	
at the moment	https://en.wiktionary.org/wiki/at_the_moment	0	0	10	0	10	0.000	0.000	1.000	neutral	
at the ready	https://en.wiktionary.org/wiki/at_the_ready	2	0	8	0	10	0.200	0.000	0.800	neutral	
at the receiving end	https://en.wiktionary.org/wiki/at_the_receiving_end	0	0	10	0	10	0.000	0.000	1.000	neutral	
at the top of one's lungs	https://en.wiktionary.org/wiki/at_the_top_of_one's_lungs	1	0	9	0	10	0.100	0.000	0.900	neutral	
at the top of one's voice	https://en.wiktionary.org/wiki/at_the_top_of_one's_voice	0	0	10	0	10	0.000	0.000	1.000	neutral	
at the very least	https://en.wiktionary.org/wiki/at_the_very_least	0	0	10	0	10	0.000	0.000	1.000	neutral	
at the wheel	https://en.wiktionary.org/wiki/at_the_wheel	2	0	8	0	10	0.200	0.000	0.800	neutral	
at this point in time	https://en.wiktionary.org/wiki/at_this_point_in_time	0	0	10	0	10	0.000	0.000	1.000	neutral	
at times	https://en.wiktionary.org/wiki/at_times	0	0	10	0	10	0.000	0.000	1.000	neutral	
at variance	https://en.wiktionary.org/wiki/at_variance	0	8	2	0	10	0.000	0.800	0.200	negative	
at work	https://en.wiktionary.org/wiki/at_work	0	0	11	0	11	0.000	0.000	1.000	neutral	
average up	https://en.wiktionary.org/wiki/average_up	0	0	10	0	10	0.000	0.000	1.000	neutral	
away from home	https://en.wiktionary.org/wiki/away_from_home	0	0	10	0	10	0.000	0.000	1.000	neutral	
away game	https://en.wiktionary.org/wiki/away_game	0	0	10	0	10	0.000	0.000	1.000	neutral	
baby blues	https://en.wiktionary.org/wiki/baby_blues	0	4	6	0	10	0.000	0.400	0.600	neutral	
baby up	https://en.wiktionary.org/wiki/baby_up	0	1	9	0	10	0.000	0.100	0.900	neutral	
baby-killer	https://en.wiktionary.org/wiki/baby-killer	0	8	2	0	10	0.000	0.800	0.200	negative	
back and forth	https://en.wiktionary.org/wiki/back_and_forth	0	1	9	0	10	0.000	0.100	0.900	neutral	
back at you	https://en.wiktionary.org/wiki/back_at_you	0	1	9	0	10	0.000	0.100	0.900	neutral	
back burner	https://en.wiktionary.org/wiki/back_burner	0	2	8	0	10	0.000	0.200	0.800	neutral	
back down	https://en.wiktionary.org/wiki/back_down	3	2	5	0	10	0.300	0.200	0.500	neutral	
back in	https://en.wiktionary.org/wiki/back_in	0	0	10	0	10	0.000	0.000	1.000	neutral	
back in the day	https://en.wiktionary.org/wiki/back_in_the_day	0	0	10	0	10	0.000	0.000	1.000	neutral	
back into	https://en.wiktionary.org/wiki/back_into	1	3	5	1	10	0.100	0.300	0.500	neutral	
back of one's hand	https://en.wiktionary.org/wiki/back_of_one's_hand	1	7	2	0	10	0.100	0.700	0.200	negative	
back off	https://en.wiktionary.org/wiki/back_off	0	4	6	0	10	0.000	0.400	0.600	neutral	
back office	https://en.wiktionary.org/wiki/back_office	0	0	10	0	10	0.000	0.000	1.000	neutral	
back out	https://en.wiktionary.org/wiki/back_out	0	2	8	0	10	0.000	0.200	0.800	neutral	
back to the drawing board	https://en.wiktionary.org/wiki/back_to_the_drawing_board	0	4	6	0	10	0.000	0.400	0.600	neutral	
back to the wall	https://en.wiktionary.org/wiki/back_to_the_wall	0	5	5	0	10	0.000	0.500	0.500	negative	
back up	https://en.wiktionary.org/wiki/back_up	0	1	9	0	10	0.000	0.100	0.900	neutral	
back wall	https://en.wiktionary.org/wiki/back_wall	0	0	10	0	10	0.000	0.000	1.000	neutral	
back-burner	https://en.wiktionary.org/wiki/back-burner	0	3	7	0	10	0.000	0.300	0.700	neutral	
back-of-the-envelope	https://en.wiktionary.org/wiki/back-of-the-envelope	0	0	10	0	10	0.000	0.000	1.000	neutral	
back-to-back	https://en.wiktionary.org/wiki/back-to-back	0	1	9	0	10	0.000	0.100	0.900	neutral	
back-to-back-to-back	https://en.wiktionary.org/wiki/back-to-back-to-back	0	0	10	0	10	0.000	0.000	1.000	neutral	
backhanded compliment	https://en.wiktionary.org/wiki/backhanded_compliment	0	9	1	0	10	0.000	0.900	0.100	negative	
bad actor	https://en.wiktionary.org/wiki/bad_actor	0	10	0	0	10	0.000	1.000	0.000	negative	
bad apple	https://en.wiktionary.org/wiki/bad_apple	0	10	0	0	10	0.000	1.000	0.000	negative	
bad blood	https://en.wiktionary.org/wiki/bad_blood	0	10	0	0	10	0.000	1.000	0.000	negative	
bad boy	https://en.wiktionary.org/wiki/bad_boy	0	7	3	0	10	0.000	0.700	0.300	negative	
bad company	https://en.wiktionary.org/wiki/bad_company	0	10	0	0	10	0.000	1.000	0.000	negative	
bad form	https://en.wiktionary.org/wiki/bad_form	0	10	0	0	10	0.000	1.000	0.000	negative	
bad hair day	https://en.wiktionary.org/wiki/bad_hair_day	0	10	0	0	10	0.000	1.000	0.000	negative	
bad joke	https://en.wiktionary.org/wiki/bad_joke	0	10	0	0	10	0.000	1.000	0.000	negative	
bad name	https://en.wiktionary.org/wiki/bad_name	0	9	1	0	10	0.000	0.900	0.100	negative	
bad news	https://en.wiktionary.org/wiki/bad_news	0	10	0	0	10	0.000	1.000	0.000	negative	
bad old days	https://en.wiktionary.org/wiki/bad_old_days	0	10	0	0	10	0.000	1.000	0.000	negative	
bad taste in one's mouth	https://en.wiktionary.org/wiki/bad_taste_in_one's_mouth	0	10	0	0	10	0.000	1.000	0.000	negative	
bad word	https://en.wiktionary.org/wiki/bad_word	0	9	1	0	10	0.000	0.900	0.100	negative	
bag of tricks	https://en.wiktionary.org/wiki/bag_of_tricks	4	0	6	0	10	0.400	0.000	0.600	neutral	
bail out	https://en.wiktionary.org/wiki/bail_out	5	3	2	0	10	0.500	0.300	0.200	positive	X
baker's dozen	https://en.wiktionary.org/wiki/baker's_dozen	0	0	10	0	10	0.000	0.000	1.000	neutral	
balance out	https://en.wiktionary.org/wiki/balance_out	2	0	8	0	10	0.200	0.000	0.800	neutral	
balance the books	https://en.wiktionary.org/wiki/balance_the_books	1	0	9	0	10	0.100	0.000	0.900	neutral	
balancing act	https://en.wiktionary.org/wiki/balancing_act	1	0	9	0	10	0.100	0.000	0.900	neutral	
ball of fire	https://en.wiktionary.org/wiki/ball_of_fire	8	0	2	0	10	0.800	0.000	0.200	positive	
ballpark figure	https://en.wiktionary.org/wiki/ballpark_figure	2	0	8	0	10	0.200	0.000	0.800	neutral	
balls-out	https://en.wiktionary.org/wiki/balls-out	7	0	2	1	10	0.700	0.000	0.200	positive	
balls-up	https://en.wiktionary.org/wiki/balls-up	0	4	4	2	10	0.000	0.400	0.400	negative	
banana republic	https://en.wiktionary.org/wiki/banana_republic	0	0	10	0	10	0.000	0.000	1.000	neutral	
band together	https://en.wiktionary.org/wiki/band_together	9	0	1	0	10	0.900	0.000	0.100	positive	
bang for the buck	https://en.wiktionary.org/wiki/bang_for_the_buck	7	0	3	0	10	0.700	0.000	0.300	positive	
bang on	https://en.wiktionary.org/wiki/bang_on	6	0	4	0	10	0.600	0.000	0.400	positive	
bang out	https://en.wiktionary.org/wiki/bang_out	2	5	3	0	10	0.200	0.500	0.300	negative	
bang up	https://en.wiktionary.org/wiki/bang_up	8	2	0	0	10	0.800	0.200	0.000	positive	
banged up	https://en.wiktionary.org/wiki/banged_up	0	9	1	0	10	0.000	0.900	0.100	negative	
bank up	https://en.wiktionary.org/wiki/bank_up	1	0	9	0	10	0.100	0.000	0.900	neutral	
baptism by fire	https://en.wiktionary.org/wiki/baptism_by_fire	4	3	3	0	10	0.400	0.300	0.300	positive	
bar none	https://en.wiktionary.org/wiki/bar_none	1	0	9	0	10	0.100	0.000	0.900	neutral	
bar off	https://en.wiktionary.org/wiki/bar_off	0	2	8	0	10	0.000	0.200	0.800	neutral	
bar up	https://en.wiktionary.org/wiki/bar_up	0	0	10	0	10	0.000	0.000	1.000	neutral	
bare metal	https://en.wiktionary.org/wiki/bare_metal	0	0	10	0	10	0.000	0.000	1.000	neutral	
bare one's soul	https://en.wiktionary.org/wiki/bare_one's_soul	2	2	6	0	10	0.200	0.200	0.600	neutral	
bargain basement	https://en.wiktionary.org/wiki/bargain_basement	0	4	6	0	10	0.000	0.400	0.600	neutral	
barge in	https://en.wiktionary.org/wiki/barge_in	0	8	2	0	10	0.000	0.800	0.200	negative	
barn doors	https://en.wiktionary.org/wiki/barn_doors	0	0	10	0	10	0.000	0.000	1.000	neutral	
barrel of laughs	https://en.wiktionary.org/wiki/barrel_of_laughs	7	2	1	0	10	0.700	0.200	0.100	positive	
basket case	https://en.wiktionary.org/wiki/basket_case	0	7	3	0	10	0.000	0.700	0.300	negative	
bat an eyelid	https://en.wiktionary.org/wiki/bat_an_eyelid	0	1	9	0	10	0.000	0.100	0.900	neutral	
batten down the hatches	https://en.wiktionary.org/wiki/batten_down_the_hatches	1	2	7	0	10	0.100	0.200	0.700	neutral	
battle cry	https://en.wiktionary.org/wiki/battle_cry	1	3	6	0	10	0.100	0.300	0.600	neutral	
be a man	https://en.wiktionary.org/wiki/be_a_man	4	1	5	0	10	0.400	0.100	0.500	neutral	
be absorbed by	https://en.wiktionary.org/wiki/be_absorbed_by	1	0	9	0	10	0.100	0.000	0.900	neutral	
be around	https://en.wiktionary.org/wiki/be_around	1	0	9	0	10	0.100	0.000	0.900	neutral	
bee in one's bonnet	https://en.wiktionary.org/wiki/bee_in_one's_bonnet	1	1	8	0	10	0.100	0.100	0.800	neutral	
beef up	https://en.wiktionary.org/wiki/beef_up	7	0	3	0	10	0.700	0.000	0.300	positive	
been there, done that	https://en.wiktionary.org/wiki/been_there,_done_that	1	0	9	0	10	0.100	0.000	0.900	neutral	
beer goggles	https://en.wiktionary.org/wiki/beer_goggles	2	2	6	0	10	0.200	0.200	0.600	neutral	
before someone's time	https://en.wiktionary.org/wiki/before_someone's_time	0	0	10	0	10	0.000	0.000	1.000	neutral	
beg to differ	https://en.wiktionary.org/wiki/beg_to_differ	0	5	5	0	10	0.000	0.500	0.500	negative	
behind bars	https://en.wiktionary.org/wiki/behind_bars	0	9	1	0	10	0.000	0.900	0.100	negative	
behind closed doors	https://en.wiktionary.org/wiki/behind_closed_doors	0	0	10	0	10	0.000	0.000	1.000	neutral	
behind someone's back	https://en.wiktionary.org/wiki/behind_someone's_back	0	4	6	0	11	0.000	0.364	0.545	neutral	
behind the counter	https://en.wiktionary.org/wiki/behind_the_counter	0	0	10	0	10	0.000	0.000	1.000	neutral	
behind the eight-ball	https://en.wiktionary.org/wiki/behind_the_eight-ball	0	7	3	0	10	0.000	0.700	0.300	negative	
behind the scenes	https://en.wiktionary.org/wiki/behind_the_scenes	0	0	10	0	10	0.000	0.000	1.000	neutral	
behind the times	https://en.wiktionary.org/wiki/behind_the_times	0	10	0	0	10	0.000	1.000	0.000	negative	
behind the wheel	https://en.wiktionary.org/wiki/behind_the_wheel	3	0	7	0	10	0.300	0.000	0.700	neutral	
being that	https://en.wiktionary.org/wiki/being_that	0	0	10	0	10	0.000	0.000	1.000	neutral	
believe it or not	https://en.wiktionary.org/wiki/believe_it_or_not	0	0	10	0	10	0.000	0.000	1.000	neutral	
believe one's ears	https://en.wiktionary.org/wiki/believe_one's_ears	0	0	10	0	10	0.000	0.000	1.000	neutral	
believe one's eyes	https://en.wiktionary.org/wiki/believe_one's_eyes	0	0	10	0	10	0.000	0.000	1.000	neutral	
believe you me	https://en.wiktionary.org/wiki/believe_you_me	0	0	10	0	10	0.000	0.000	1.000	neutral	
bells and whistles	https://en.wiktionary.org/wiki/bells_and_whistles	2	1	7	0	10	0.200	0.100	0.700	neutral	
belly up	https://en.wiktionary.org/wiki/belly_up	0	8	2	0	10	0.000	0.800	0.200	negative	
below par	https://en.wiktionary.org/wiki/below_par	0	6	4	0	10	0.000	0.600	0.400	negative	
below the belt	https://en.wiktionary.org/wiki/below_the_belt	0	10	0	0	10	0.000	1.000	0.000	negative	
belt out	https://en.wiktionary.org/wiki/belt_out	0	0	10	0	10	0.000	0.000	1.000	neutral	
bend over backwards	https://en.wiktionary.org/wiki/bend_over_backwards	5	1	4	0	10	0.500	0.100	0.400	positive	
bend the rules	https://en.wiktionary.org/wiki/bend_the_rules	2	2	6	0	10	0.200	0.200	0.600	neutral	
beneath the surface	https://en.wiktionary.org/wiki/beneath_the_surface	0	0	10	0	10	0.000	0.000	1.000	neutral	
bent on	https://en.wiktionary.org/wiki/bent_on	2	1	7	0	10	0.200	0.100	0.700	neutral	
beside the point	https://en.wiktionary.org/wiki/beside_the_point	0	4	6	0	10	0.000	0.400	0.600	neutral	
best bet	https://en.wiktionary.org/wiki/best_bet	8	0	2	0	10	0.800	0.000	0.200	positive	
best laid plans	https://en.wiktionary.org/wiki/best_laid_plans	5	1	4	0	10	0.500	0.100	0.400	positive	
best of both worlds	https://en.wiktionary.org/wiki/best_of_both_worlds	7	0	3	0	10	0.700	0.000	0.300	positive	
best of the bunch	https://en.wiktionary.org/wiki/best_of_the_bunch	10	0	0	0	10	1.000	0.000	0.000	positive	
best regards	https://en.wiktionary.org/wiki/best_regards	7	0	3	0	10	0.700	0.000	0.300	positive	
best thing since sliced bread	https://en.wiktionary.org/wiki/best_thing_since_sliced_bread	5	0	5	0	10	0.500	0.000	0.500	positive	
best-kept secret	https://en.wiktionary.org/wiki/best-kept_secret	6	0	4	0	10	0.600	0.000	0.400	positive	
bet one's bottom dollar	https://en.wiktionary.org/wiki/bet_one's_bottom_dollar	3	0	7	0	10	0.300	0.000	0.700	neutral	
bet the farm	https://en.wiktionary.org/wiki/bet_the_farm	4	0	6	0	10	0.400	0.000	0.600	neutral	
better and better	https://en.wiktionary.org/wiki/better_and_better	10	0	0	0	10	1.000	0.000	0.000	positive	
better angels	https://en.wiktionary.org/wiki/better_angels	9	0	1	0	10	0.900	0.000	0.100	positive	
better half	https://en.wiktionary.org/wiki/better_half	7	0	3	0	10	0.700	0.000	0.300	positive	
between a rock and a hard place	https://en.wiktionary.org/wiki/between_a_rock_and_a_hard_place	0	9	1	0	10	0.000	0.900	0.100	negative	
between the pipes	https://en.wiktionary.org/wiki/between_the_pipes	0	0	10	0	10	0.000	0.000	1.000	neutral	
beyond the call of duty	https://en.wiktionary.org/wiki/beyond_the_call_of_duty	1	0	9	0	10	0.100	0.000	0.900	neutral	
beyond the pale	https://en.wiktionary.org/wiki/beyond_the_pale	0	5	5	0	10	0.000	0.500	0.500	negative	
bide one's time	https://en.wiktionary.org/wiki/bide_one's_time	0	0	10	0	10	0.000	0.000	1.000	neutral	
big boy	https://en.wiktionary.org/wiki/big_boy	0	0	10	0	10	0.000	0.000	1.000	neutral	
big boys	https://en.wiktionary.org/wiki/big_boys	1	0	9	0	10	0.100	0.000	0.900	neutral	
big break	https://en.wiktionary.org/wiki/big_break	10	0	0	0	10	1.000	0.000	0.000	positive	
big bucks	https://en.wiktionary.org/wiki/big_bucks	6	0	4	0	10	0.600	0.000	0.400	positive	
big cheese	https://en.wiktionary.org/wiki/big_cheese	8	0	2	0	10	0.800	0.000	0.200	positive	
big deal	https://en.wiktionary.org/wiki/big_deal	3	0	7	0	10	0.300	0.000	0.700	neutral	
big fat	https://en.wiktionary.org/wiki/big_fat	1	2	7	0	10	0.100	0.200	0.700	neutral	
big fish in a small pond	https://en.wiktionary.org/wiki/big_fish_in_a_small_pond	5	2	3	0	10	0.500	0.200	0.300	positive	
big girl	https://en.wiktionary.org/wiki/big_girl	1	1	8	0	10	0.100	0.100	0.800	neutral	
big gun	https://en.wiktionary.org/wiki/big_gun	4	0	6	0	10	0.400	0.000	0.600	neutral	
big guy	https://en.wiktionary.org/wiki/big_guy	2	0	8	0	10	0.200	0.000	0.800	neutral	
big house	https://en.wiktionary.org/wiki/big_house	1	1	8	0	10	0.100	0.100	0.800	neutral	
big mouth	https://en.wiktionary.org/wiki/big_mouth	0	6	4	0	10	0.000	0.600	0.400	negative	
big name	https://en.wiktionary.org/wiki/big_name	8	0	2	0	10	0.800	0.000	0.200	positive	
big ol'	https://en.wiktionary.org/wiki/big_ol'	0	0	10	0	10	0.000	0.000	1.000	neutral	
big old	https://en.wiktionary.org/wiki/big_old	4	0	6	0	10	0.400	0.000	0.600	neutral	
big ole	https://en.wiktionary.org/wiki/big_ole	0	0	10	0	10	0.000	0.000	1.000	neutral	
big picture	https://en.wiktionary.org/wiki/big_picture	5	0	5	0	10	0.500	0.000	0.500	positive	X
big shop	https://en.wiktionary.org/wiki/big_shop	1	0	9	0	10	0.100	0.000	0.900	neutral	
big shot	https://en.wiktionary.org/wiki/big_shot	7	0	3	0	10	0.700	0.000	0.300	positive	
big spender	https://en.wiktionary.org/wiki/big_spender	0	1	9	0	10	0.000	0.100	0.900	neutral	
big talk	https://en.wiktionary.org/wiki/big_talk	1	3	6	0	10	0.100	0.300	0.600	neutral	
big tent	https://en.wiktionary.org/wiki/big_tent	2	0	8	0	10	0.200	0.000	0.800	neutral	
big up	https://en.wiktionary.org/wiki/big_up	5	0	5	0	10	0.500	0.000	0.500	positive	
big wheel	https://en.wiktionary.org/wiki/big_wheel	7	0	3	0	10	0.700	0.000	0.300	positive	
big year	https://en.wiktionary.org/wiki/big_year	3	0	7	0	10	0.300	0.000	0.700	neutral	
big-boned	https://en.wiktionary.org/wiki/big-boned	0	4	6	0	10	0.000	0.400	0.600	neutral	
bigger fish to fry	https://en.wiktionary.org/wiki/bigger_fish_to_fry	1	0	9	0	10	0.100	0.000	0.900	neutral	
bill of goods	https://en.wiktionary.org/wiki/bill_of_goods	0	4	6	0	10	0.000	0.400	0.600	neutral	
bird's-eye view	https://en.wiktionary.org/wiki/bird's-eye_view	1	0	9	0	10	0.100	0.000	0.900	neutral	
birds and bees	https://en.wiktionary.org/wiki/birds_and_bees	0	0	10	0	10	0.000	0.000	1.000	neutral	
birds of a feather	https://en.wiktionary.org/wiki/birds_of_a_feather	0	0	10	0	10	0.000	0.000	1.000	neutral	
birthday suit	https://en.wiktionary.org/wiki/birthday_suit	1	0	9	0	10	0.100	0.000	0.900	neutral	
bit between one's teeth	https://en.wiktionary.org/wiki/bit_between_one's_teeth	5	1	4	0	10	0.500	0.100	0.400	positive	
bite me	https://en.wiktionary.org/wiki/bite_me	0	10	0	0	10	0.000	1.000	0.000	negative	
bite of the cherry	https://en.wiktionary.org/wiki/bite_of_the_cherry	0	0	10	0	10	0.000	0.000	1.000	neutral	
bite off	https://en.wiktionary.org/wiki/bite_off	2	2	6	0	10	0.200	0.200	0.600	neutral	
bite off more than one can chew	https://en.wiktionary.org/wiki/bite_off_more_than_one_can_chew	0	9	1	0	10	0.000	0.900	0.100	negative	
bite one's tongue	https://en.wiktionary.org/wiki/bite_one's_tongue	1	5	4	0	10	0.100	0.500	0.400	negative	
bite the bullet	https://en.wiktionary.org/wiki/bite_the_bullet	0	2	8	0	10	0.000	0.200	0.800	neutral	
bite the dust	https://en.wiktionary.org/wiki/bite_the_dust	0	10	0	0	10	0.000	1.000	0.000	negative	
bite to eat	https://en.wiktionary.org/wiki/bite_to_eat	0	0	10	0	10	0.000	0.000	1.000	neutral	
bits and bobs	https://en.wiktionary.org/wiki/bits_and_bobs	0	0	10	0	10	0.000	0.000	1.000	neutral	
bitter end	https://en.wiktionary.org/wiki/bitter_end	0	7	3	0	10	0.000	0.700	0.300	negative	
bitter pill to swallow	https://en.wiktionary.org/wiki/bitter_pill_to_swallow	0	10	0	0	10	0.000	1.000	0.000	negative	
black and blue	https://en.wiktionary.org/wiki/black_and_blue	0	6	4	0	10	0.000	0.600	0.400	negative	
black babies	https://en.wiktionary.org/wiki/black_babies	1	3	5	1	10	0.100	0.300	0.500	neutral	
black cat	https://en.wiktionary.org/wiki/black_cat	0	1	9	0	10	0.000	0.100	0.900	neutral	
black gold	https://en.wiktionary.org/wiki/black_gold	2	0	8	0	10	0.200	0.000	0.800	neutral	
black magic	https://en.wiktionary.org/wiki/black_magic	0	9	1	0	10	0.000	0.900	0.100	negative	
black man	https://en.wiktionary.org/wiki/black_man	0	1	9	0	10	0.000	0.100	0.900	neutral	
black mark	https://en.wiktionary.org/wiki/black_mark	0	9	1	0	10	0.000	0.900	0.100	negative	
black out	https://en.wiktionary.org/wiki/black_out	0	6	4	0	10	0.000	0.600	0.400	negative	
black sheep	https://en.wiktionary.org/wiki/black_sheep	0	7	3	0	10	0.000	0.700	0.300	negative	
black tie	https://en.wiktionary.org/wiki/black_tie	0	1	9	0	10	0.000	0.100	0.900	neutral	
black-on-black	https://en.wiktionary.org/wiki/black-on-black	0	3	7	0	10	0.000	0.300	0.700	neutral	
blame game	https://en.wiktionary.org/wiki/blame_game	0	8	2	0	10	0.000	0.800	0.200	negative	
blank canvas	https://en.wiktionary.org/wiki/blank_canvas	0	1	9	0	10	0.000	0.100	0.900	neutral	
blank out	https://en.wiktionary.org/wiki/blank_out	1	4	5	0	10	0.100	0.400	0.500	neutral	
blank slate	https://en.wiktionary.org/wiki/blank_slate	1	0	9	0	10	0.100	0.000	0.900	neutral	
blast off	https://en.wiktionary.org/wiki/blast_off	1	0	9	0	10	0.100	0.000	0.900	neutral	
blaze a trail	https://en.wiktionary.org/wiki/blaze_a_trail	8	0	2	0	10	0.800	0.000	0.200	positive	
bleed to death	https://en.wiktionary.org/wiki/bleed_to_death	0	10	0	0	10	0.000	1.000	0.000	negative	
bleeding edge	https://en.wiktionary.org/wiki/bleeding_edge	1	6	3	0	10	0.100	0.600	0.300	negative	
bless you	https://en.wiktionary.org/wiki/bless_you	10	0	0	0	10	1.000	0.000	0.000	positive	
blessing in disguise	https://en.wiktionary.org/wiki/blessing_in_disguise	9	0	1	0	10	0.900	0.000	0.100	positive	
