idiom	patterns
as I was saying	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^I$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^say$""}}]]"
as a rule	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^rule$""}}]]"
as a whole	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^whole$""}}]]"
as all get-out	"[[{""TEXT"": {""REGEX"": ""(?i)^as$""}}, {""TEXT"": {""REGEX"": ""(?i)^all$""}}, {""TEXT"": {""REGEX"": ""(?i)^get$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^out$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^get$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}], [{""TEXT"": {""REGEX"": ""(?i)^as$""}}, {""TEXT"": {""REGEX"": ""(?i)^get$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^out$""}}]]"
as best one can	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^good$""}}, {""LEMMA"": {""REGEX"": ""(?i)^one$""}}, {""LEMMA"": {""REGEX"": ""(?i)^can$""}}]]"
as far as	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^far$""}}, {""LEMMA"": {""REGEX"": ""(?i)^as$""}}]]"
as far as one knows	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^far$""}}, {""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^one$""}}, {""LEMMA"": {""REGEX"": ""(?i)^know$""}}]]"
as it happens	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^happen$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^happen$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^so$""}}, {""LEMMA"": {""REGEX"": ""(?i)^happen$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^so$""}}, {""LEMMA"": {""REGEX"": ""(?i)^happen$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^just$""}}, {""LEMMA"": {""REGEX"": ""(?i)^so$""}}, {""LEMMA"": {""REGEX"": ""(?i)^happen$""}}]]"
as long as	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^long$""}}, {""LEMMA"": {""REGEX"": ""(?i)^as$""}}]]"
as luck would have it	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^luck$""}}, {""LEMMA"": {""REGEX"": ""(?i)^would$""}}, {""LEMMA"": {""REGEX"": ""(?i)^have$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}]]"
as often as not	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^often$""}}, {""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^not$""}}]]"
as soon as	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^soon$""}}, {""LEMMA"": {""REGEX"": ""(?i)^as$""}}]]"
as the crow flies	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^crow$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fly$""}}]]"
as the day is long	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^long$""}}]]"
as the next guy	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^next$""}}, {""LEMMA"": {""REGEX"": ""(?i)^guy$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^next$""}}, {""LEMMA"": {""REGEX"": ""(?i)^girl$""}}]]"
as well as	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^well$""}}, {""LEMMA"": {""REGEX"": ""(?i)^as$""}}]]"
as you know	"[[{""LEMMA"": {""REGEX"": ""(?i)^as$""}}, {""LEMMA"": {""REGEX"": ""(?i)^you$""}}, {""LEMMA"": {""REGEX"": ""(?i)^know$""}}]]"
ask for it	"[[{""LEMMA"": {""REGEX"": ""(?i)^ask$""}}, {""LEMMA"": {""REGEX"": ""(?i)^for$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}]]"
ask the question	"[[{""LEMMA"": {""REGEX"": ""(?i)^ask$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^question$""}}]]"
asleep at the switch	"[[{""LEMMA"": {""REGEX"": ""(?i)^asleep$""}}, {""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^switch$""}}]]"
assault and battery	"[[{""LEMMA"": {""REGEX"": ""(?i)^assault$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^battery$""}}]]"
assume the mantle	"[[{""LEMMA"": {""REGEX"": ""(?i)^assume$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^mantle$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^take$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^mantle$""}}]]"
assume the position	"[[{""LEMMA"": {""REGEX"": ""(?i)^assume$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^position$""}}]]"
at a canter	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^canter$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^canter$""}}]]"
at a glance	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^glance$""}}]]"
at a loss	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^loss$""}}]]"
at a loss for words	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^loss$""}}, {""LEMMA"": {""REGEX"": ""(?i)^for$""}}, {""LEMMA"": {""REGEX"": ""(?i)^word$""}}]]"
at a moment's notice	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^moment$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^notice$""}}]]"
at a pinch	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^pinch$""}}]]"
at a stand	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^stand$""}}]]"
at all hours	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^all$""}}, {""LEMMA"": {""REGEX"": ""(?i)^hour$""}}]]"
at arm's length	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^arm$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^length$""}}]]"
at cross-purposes	"[[{""TEXT"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": {""REGEX"": ""(?i)^cross$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^purposes$""}}]]"
at death's door	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^death$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^door$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^death$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^door$""}}]]"
at each other's throats	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^each$""}}, {""LEMMA"": {""REGEX"": ""(?i)^other$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'s$""}}, {""LEMMA"": {""REGEX"": ""(?i)^throat$""}}]]"
at first blush	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^first$""}}, {""LEMMA"": {""REGEX"": ""(?i)^blush$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^first$""}}, {""LEMMA"": {""REGEX"": ""(?i)^blush$""}}]]"
at full tilt	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^full$""}}, {""LEMMA"": {""REGEX"": ""(?i)^tilt$""}}]]"
at long last	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^long$""}}, {""LEMMA"": {""REGEX"": ""(?i)^last$""}}]]"
at one's fingertips	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^fingertip$""}}]]"
at peace with	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^peace$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}]]"
at sixes and sevens	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^six$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^seven$""}}]]"
at the best of times	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^good$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^time$""}}]]"
at the coal face	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^coal$""}}, {""LEMMA"": {""REGEX"": ""(?i)^face$""}}]]"
at the drop of a hat	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^drop$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^hat$""}}]]"
at the end of one's tether	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^end$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^tether$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^end$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^rope$""}}]]"
at the end of the day	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^end$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}]]"
at the feet of	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^foot$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
at the helm	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^helm$""}}]]"
at the mercy of	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^mercy$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
at the moment	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^moment$""}}]]"
at the ready	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^ready$""}}]]"
at the receiving end	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^receiving$""}}, {""LEMMA"": {""REGEX"": ""(?i)^end$""}}]]"
at the top of one's lungs	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^top$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^lung$""}}]]"
at the top of one's voice	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^top$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^voice$""}}]]"
at the very least	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^very$""}}, {""LEMMA"": {""REGEX"": ""(?i)^least$""}}]]"
at the wheel	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^wheel$""}}]]"
at this point in time	"[[{""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^this$""}}, {""LEMMA"": {""REGEX"": ""(?i)^point$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^time$""}}]]"
away from home	"[[{""LEMMA"": {""REGEX"": ""(?i)^away$""}}, {""LEMMA"": {""REGEX"": ""(?i)^from$""}}, {""LEMMA"": {""REGEX"": ""(?i)^home$""}}]]"
baby-killer	"[[{""TEXT"": {""REGEX"": ""(?i)^baby$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^killer$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^babykiller$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^baby$""}}, {""LEMMA"": {""REGEX"": ""(?i)^killer$""}}]]"
back and forth	"[[{""LEMMA"": {""REGEX"": ""(?i)^back$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^forth$""}}], [{""TEXT"": {""REGEX"": ""(?i)^back$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^forth$""}}]]"
back at you	"[[{""LEMMA"": {""REGEX"": ""(?i)^back$""}}, {""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^you$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^back$""}}, {""LEMMA"": {""REGEX"": ""(?i)^atcha$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^right$""}}, {""LEMMA"": {""REGEX"": ""(?i)^back$""}}, {""LEMMA"": {""REGEX"": ""(?i)^at$""}}, {""LEMMA"": {""REGEX"": ""(?i)^you$""}}]]"
back in the day	"[[{""LEMMA"": {""REGEX"": ""(?i)^back$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^back$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}]]"
back of one's hand	"[[{""LEMMA"": {""REGEX"": ""(?i)^back$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^hand$""}}]]"
back to the drawing board	"[[{""LEMMA"": {""REGEX"": ""(?i)^back$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^drawing$""}}, {""LEMMA"": {""REGEX"": ""(?i)^board$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^back$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^old$""}}, {""LEMMA"": {""REGEX"": ""(?i)^drawing$""}}, {""LEMMA"": {""REGEX"": ""(?i)^board$""}}]]"
back to the wall	"[[{""LEMMA"": {""REGEX"": ""(?i)^back$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^wall$""}}]]"
back-burner	"[[{""TEXT"": {""REGEX"": ""(?i)^back$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^burner$""}}]]"
back-of-the-envelope	"[[{""TEXT"": {""REGEX"": ""(?i)^back$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^the$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^envelope$""}}], [{""TEXT"": {""REGEX"": ""(?i)^back$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^an$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^envelope$""}}]]"
back-to-back	"[[{""TEXT"": {""REGEX"": ""(?i)^back$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^back$""}}]]"
back-to-back-to-back	"[[{""TEXT"": {""REGEX"": ""(?i)^back$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^back$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^back$""}}]]"
backhanded compliment	"[[{""LEMMA"": {""REGEX"": ""(?i)^backhand$""}}, {""LEMMA"": {""REGEX"": ""(?i)^compliment$""}}], [{""TEXT"": {""REGEX"": ""(?i)^back$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^handed$""}}, {""TEXT"": {""REGEX"": ""(?i)^compliment$""}}]]"
bad hair day	"[[{""LEMMA"": {""REGEX"": ""(?i)^bad$""}}, {""LEMMA"": {""REGEX"": ""(?i)^hair$""}}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}]]"
bad old days	"[[{""LEMMA"": {""REGEX"": ""(?i)^bad$""}}, {""LEMMA"": {""REGEX"": ""(?i)^old$""}}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}]]"
bad taste in one's mouth	"[[{""LEMMA"": {""REGEX"": ""(?i)^bad$""}}, {""LEMMA"": {""REGEX"": ""(?i)^taste$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^mouth$""}}]]"
bag of tricks	"[[{""LEMMA"": {""REGEX"": ""(?i)^bag$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^trick$""}}]]"
balance the books	"[[{""LEMMA"": {""REGEX"": ""(?i)^balance$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^book$""}}]]"
ball of fire	"[[{""LEMMA"": {""REGEX"": ""(?i)^ball$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fire$""}}]]"
ballpark figure	"[[{""LEMMA"": {""REGEX"": ""(?i)^ballpark$""}}, {""LEMMA"": {""REGEX"": ""(?i)^figure$""}}]]"
balls-out	"[[{""TEXT"": {""REGEX"": ""(?i)^balls$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^out$""}}]]"
balls-up	"[[{""TEXT"": {""REGEX"": ""(?i)^balls$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^up$""}}]]"
banana republic	"[[{""LEMMA"": {""REGEX"": ""(?i)^banana$""}}, {""LEMMA"": {""REGEX"": ""(?i)^republic$""}}]]"
bang for the buck	"[[{""LEMMA"": {""REGEX"": ""(?i)^bang$""}}, {""LEMMA"": {""REGEX"": ""(?i)^for$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^buck$""}}]]"
baptism by fire	"[[{""LEMMA"": {""REGEX"": ""(?i)^baptism$""}}, {""LEMMA"": {""REGEX"": ""(?i)^by$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fire$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^baptism$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^fire$""}}]]"
bare one's soul	"[[{""LEMMA"": {""REGEX"": ""(?i)^bare$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^soul$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^lay$""}}, {""LEMMA"": {""REGEX"": ""(?i)^bare$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^soul$""}}]]"
bargain basement	"[[{""LEMMA"": {""REGEX"": ""(?i)^bargain$""}}, {""LEMMA"": {""REGEX"": ""(?i)^basement$""}}]]"
barrel of laughs	"[[{""LEMMA"": {""REGEX"": ""(?i)^barrel$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^laugh$""}}]]"
bat an eyelid	"[[{""LEMMA"": {""REGEX"": ""(?i)^bat$""}}, {""TEXT"": ""an"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^eyelid$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^bat$""}}, {""TEXT"": ""an"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^eye$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^bat$""}}, {""TEXT"": ""an"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^eyelash$""}}]]"
batten down the hatches	"[[{""LEMMA"": {""REGEX"": ""(?i)^batten$""}}, {""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^hatch$""}}]]"
be a man	"[[{""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^man$""}}]]"
bee in one's bonnet	"[[{""LEMMA"": {""REGEX"": ""(?i)^bee$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^bonnet$""}}]]"
been there, done that	"[[{""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^there$""}}, {""TEXT"": "","", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^do$""}}, {""LEMMA"": {""REGEX"": ""(?i)^that$""}}]]"
before someone's time	"[[{""LEMMA"": {""REGEX"": ""(?i)^before$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^time$""}}]]"
beg to differ	"[[{""LEMMA"": {""REGEX"": ""(?i)^beg$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^differ$""}}]]"
